S.No.,GSTIN,Supplier Name,Export Invoice Number ,Export Date ,Export Value, GSTR 2B , Taxable Value as per GSTR 2B ,Category of Input Supplies,HSN/SAC,CGST Amount,SGST Amount,IGST Amount,Cess, Eligible for ITC ,3B Month
37,24AOJPK2698M1ZC,AIMS TECHNOLOGIES,LI/23-24/23,2/5/2024,9625,9625,9625, Inputs ,84484910,866.25,866.25,0,, Yes ,Oct-22
38,24AOJPK2698M1ZC,AIMS TECHNOLOGIES,LI/23-24/24,2/15/2024,12558,12558,12558, Inputs ,84484910,1130.17,1130.17,0,, Yes ,Oct-22
39,24AOJPK2698M1ZC,AIMS TECHNOLOGIES,756,3/6/2024,24000,24000,24000, Inputs ,84484910,2160,2160,0,, Yes ,Oct-22
40,24AOJPK2698M1ZC,AIMS TECHNOLOGIES,758,3/7/2024,14308,14308,14308, Inputs ,84484910,1287.72,1287.72,0,, Yes ,Oct-22
41,24AOJPK2698M1ZC,AIMS TECHNOLOGIES,766,3/11/2024,14400,14400,14400, Inputs ,84484910,1296,1296,0,, Yes ,Oct-22
42,24AOJPK2698M1ZC,AIMS TECHNOLOGIES,781,3/19/2024,49270,49270,49270, Inputs ,84484910,4434.3,4434.3,0,, Yes ,Oct-22
43,24AOJPK2698M1ZC,AIMS TECHNOLOGIES,787,3/23/2024,45408,45408,45408, Inputs ,84484910,4086.72,4086.72,0,, Yes ,Oct-22
44,24BYNPP2593M1ZO,AKSHARDEEP INC,256,3/1/2024,39430,39430,39430, Input Services ,998873,3548.66,3548.66,0,, Yes ,Oct-22
45,24BYNPP2593M1ZO,AKSHARDEEP INC,259,3/1/2024,14820,14820,14820, Input Services ,998873,1333.8,1333.8,0,, Yes ,Oct-22
46,24BYNPP2593M1ZO,AKSHARDEEP INC,260,3/1/2024,14820,14820,14820, Input Services ,998873,1333.8,1333.8,0,, Yes ,Oct-22
47,24BYNPP2593M1ZO,AKSHARDEEP INC,261,3/1/2024,1638,1638,1638, Input Services ,998873,147.38,147.38,0,, Yes ,Oct-22
48,24BYNPP2593M1ZO,AKSHARDEEP INC,262,3/1/2024,32879,32879,32879, Input Services ,998873,2959.11,2959.11,0,, Yes ,Oct-22
49,24BYNPP2593M1ZO,AKSHARDEEP INC,263,3/1/2024,4649,4649,4649, Input Services ,998873,418.39,418.39,0,, Yes ,Oct-22
50,24BYNPP2593M1ZO,AKSHARDEEP INC,264,3/2/2024,8747,8747,8747, Input Services ,998873,787.19,787.19,0,, Yes ,Oct-22
51,24BYNPP2593M1ZO,AKSHARDEEP INC,267,3/4/2024,15496,15496,15496, Input Services ,998873,1394.64,1394.64,0,, Yes ,Oct-22
52,24BYNPP2593M1ZO,AKSHARDEEP INC,268,3/4/2024,11622,11622,11622, Input Services ,998873,1045.98,1045.98,0,, Yes ,Oct-22
53,24BYNPP2593M1ZO,AKSHARDEEP INC,271,3/6/2024,9673,9673,9673, Input Services ,998873,870.53,870.53,0,, Yes ,Oct-22
54,24BYNPP2593M1ZO,AKSHARDEEP INC,272,3/7/2024,14697,14697,14697, Input Services ,998873,1322.73,1322.73,0,, Yes ,Oct-22
55,24BYNPP2593M1ZO,AKSHARDEEP INC,273,3/9/2024,50930,50930,50930, Input Services ,998873,4583.69,4583.69,0,, Yes ,Oct-22
56,24BYNPP2593M1ZO,AKSHARDEEP INC,275,3/11/2024,9496,9496,9496, Input Services ,998873,854.6,854.6,0,, Yes ,Oct-22
57,24BYNPP2593M1ZO,AKSHARDEEP INC,276,3/11/2024,9157,9157,9157, Input Services ,998873,824.09,824.09,0,, Yes ,Oct-22
58,24BYNPP2593M1ZO,AKSHARDEEP INC,279,3/12/2024,17183,17183,17183, Input Services ,998873,1546.47,1546.47,0,, Yes ,Oct-22
59,24BYNPP2593M1ZO,AKSHARDEEP INC,281,3/12/2024,17183,17183,17183, Input Services ,998873,1546.47,1546.47,0,, Yes ,Oct-22
60,24BYNPP2593M1ZO,AKSHARDEEP INC,282,3/12/2024,11787,11787,11787, Input Services ,998873,1060.79,1060.79,0,, Yes ,Oct-22
61,24BYNPP2593M1ZO,AKSHARDEEP INC,283,3/12/2024,16838,16838,16838, Input Services ,998873,1515.42,1515.42,0,, Yes ,Oct-22
62,24BYNPP2593M1ZO,AKSHARDEEP INC,284,3/12/2024,9156,9156,9156, Input Services ,998873,824.06,824.06,0,, Yes ,Oct-22
63,24BYNPP2593M1ZO,AKSHARDEEP INC,285,3/18/2024,31050,31050,31050, Input Services ,998873,2794.5,2794.5,0,, Yes ,Oct-22
64,24BYNPP2593M1ZO,AKSHARDEEP INC,289,3/13/2024,17183,17183,17183, Input Services ,998873,1546.47,1546.47,0,, Yes ,Oct-22
65,24BYNPP2593M1ZO,AKSHARDEEP INC,290,3/13/2024,18991,18991,18991, Input Services ,998873,1709.19,1709.19,0,, Yes ,Oct-22
66,24BYNPP2593M1ZO,AKSHARDEEP INC,293,3/14/2024,18313,18313,18313, Input Services ,998873,1648.17,1648.17,0,, Yes ,Oct-22
67,24BYNPP2593M1ZO,AKSHARDEEP INC,294,3/14/2024,14697,14697,14697, Input Services ,998873,1322.73,1322.73,0,, Yes ,Oct-22
68,24BYNPP2593M1ZO,AKSHARDEEP INC,295,3/14/2024,14697,14697,14697, Input Services ,998873,1322.73,1322.73,0,, Yes ,Oct-22
69,24BYNPP2593M1ZO,AKSHARDEEP INC,296,3/14/2024,27456,27456,27456, Input Services ,998873,2471.04,2471.04,0,, Yes ,Oct-22
70,24BYNPP2593M1ZO,AKSHARDEEP INC,300,3/15/2024,6012,6012,6012, Input Services ,998873,541.08,541.08,0,, Yes ,Oct-22
71,24BYNPP2593M1ZO,AKSHARDEEP INC,301,3/16/2024,12495,12495,12495, Input Services ,998873,1124.55,1124.55,0,, Yes ,Oct-22
72,24BYNPP2593M1ZO,AKSHARDEEP INC,306,3/19/2024,3607,3607,3607, Input Services ,998873,324.65,324.65,0,, Yes ,Oct-22
73,24BYNPP2593M1ZO,AKSHARDEEP INC,314,3/26/2024,19225,19225,19225, Input Services ,998873,1730.25,1730.25,0,, Yes ,Oct-22
74,24BYNPP2593M1ZO,AKSHARDEEP INC,315,3/26/2024,19225,19225,19225, Input Services ,998873,1730.25,1730.25,0,, Yes ,Oct-22
